Citation Key,Year,First Author,Title,Journal,Cities,Region,Type,DOI
Jarvi2011,2011,Jarvi,The Surface Urban Energy and Water Balance Scheme (SUEWS): Evaluation in Los Angeles and Vancouver,Journal of Hydrology,Vancouver; Los Angeles,North America,City Study,https://doi.org/10.1016/j.jhydrol.2011.10.001
Jarvi2014,2014,Jarvi,Development of the Surface Urban Energy and Water Balance Scheme (SUEWS) for cold climate cities,Geoscientific Model Development,Helsinki; Montreal,Multiple,City Study,https://doi.org/10.5194/gmd-7-1691-2014
Alexander2015,2015,Alexander,Spatial validation of an urban energy balance model using multi-temporal remotely sensed surface tem...,2015 Joint Urban Remote Sensing Event (JURSE),Dublin,Europe,City Study,https://doi.org/10.1109/jurse.2015.7120500
Nordbo2015,2015,Nordbo,Urban surface cover determined with airborne lidar at 2 m resolution - Implications for surface ener...,Urban Climate,Helsinki,Europe,City Study,https://doi.org/10.1016/j.uclim.2015.05.004
Alexander2015a,2015,Alexander,Using LCZ data to run an urban energy balance model,Urban Climate,Dublin,Europe,City Study,https://doi.org/10.1016/j.uclim.2015.05.001
Li2016,2016,Li,Exploring historical and future urban climate in the Earth System Modeling framework: 1. Model devel...,Journal of Advances in Modeling Earth Systems,Marseille; Baltimore,Multiple,City Study,https://doi.org/10.1002/2015MS000578
Rafael2016,2016,Rafael,Influence of urban resilience measures in the magnitude and behaviour of energy fluxes in the city o...,Science of The Total Environment,Porto,Europe,City Study,https://doi.org/10.1016/j.scitotenv.2016.06.037
Alexander2016,2016,Alexander,Linking urban climate classification with an urban energy and water budget model: Multi-site and mul...,Urban Climate,Dublin; Hamburg; Phoenix; Melbourne,Multiple,City Study,https://doi.org/10.1016/j.uclim.2016.08.003
Ao2016,2016,Ao,"Radiation fluxes in a Business District of Shanghai, China",Journal of Applied Meteorology and Climatology,Shanghai,Asia,City Study,https://doi.org/10.1175/JAMC-D-16-0082.1
Karsisto2016,2016,Karsisto,Seasonal surface urban energy balance and wintertime stability simulated using three land-surface mo...,Quarterly Journal of the Royal Meteorological Society,Helsinki,Europe,City Study,https://doi.org/10.1002/qj.2659
Alexander2016a,2016,Alexander,Simulating the impact of urban development pathways on the local climate: A scenario-based analysis ...,Landscape and Urban Planning,Dublin,Europe,City Study,https://doi.org/10.1016/j.landurbplan.2016.02.006
Ward2016,2016,Ward,Surface Urban Energy and Water Balance Scheme (SUEWS): Development and evaluation at two UK sites,Urban Climate,London; Swindon,Europe,City Study,https://doi.org/10.1016/j.uclim.2016.05.001
Ward2017,2017,Ward,"Assessing the impact of changes in surface cover, human behaviour and climate on energy partitioning...",Landscape and Urban Planning,London,Europe,City Study,https://doi.org/10.1016/j.landurbplan.2017.04.001
Demuzere2017,2017,Demuzere,Impact of urban canopy models and external parameters on the modelled urban energy balance in a trop...,Quarterly Journal of the Royal Meteorological Society,Singapore,Asia,City Study,https://doi.org/10.1002/qj.3028
Bellucco2017,2017,Bellucco,Modelling the biogenic CO2 exchange in urban and non-urban ecosystems through the assessment of ligh...,Agricultural and Forest Meteorology,Helsinki,Europe,City Study,https://doi.org/10.1016/j.agrformet.2016.12.011
Rafael2017,2017,Rafael,Quantification and mapping of urban fluxes under climate change: Application of WRF-SUEWS model to G...,Environmental Research,Porto,Europe,City Study,https://doi.org/10.1016/j.envres.2017.02.033
Sun2017,2017,Sun,The Analytical Objective Hysteresis Model (AnOHM v1.0): methodology to determine bulk storage heat f...,Geoscientific Model Development,-,Global/Method,Methodology,https://doi.org/10.5194/gmd-10-2875-2017
Jarvi2017,2017,Jarvi,Warming effects on the urban hydrology in cold climate regions,Scientific Reports,-,Global/Method,Methodology,https://doi.org/10.1038/s41598-017-05733-y
Kokkonen2018,2018,Kokkonen,"Changes to the Water Balance Over a Century of Urban Development in Two Neighborhoods: Vancouver, Ca...",Water Resources Research,Vancouver,North America,City Study,https://doi.org/10.1029/2017WR022445
Ao2018,2018,Ao,Evaluation of the Surface Urban Energy and Water Balance Scheme (SUEWS) at a Dense Urban Site in Sha...,Journal of Hydrometeorology,Shanghai,Asia,City Study,https://doi.org/10.1175/JHM-D-18-0057.1
Ward2018,2018,Ward,Impact of temporal resolution of precipitation forcing data on modelled urban-atmosphere exchanges a...,International Journal of Climatology,-,Global/Method,Methodology,https://doi.org/10.1002/joc.5200
Kokkonen2018a,2018,Kokkonen,Sensitivity of Surface Urban Energy and Water Balance Scheme (SUEWS) to downscaling of reanalysis fo...,Urban Climate,London; Vancouver,Multiple,City Study,https://doi.org/10.1016/j.uclim.2017.05.001
Lindberg2018,2018,Lindberg,Urban Multi-scale Environmental Predictor (UMEP): An integrated tool for city-based climate services,Environmental Modelling &amp; Software,-,Global/Method,Methodology,https://doi.org/10.1016/j.envsoft.2017.09.020
Sun2019,2019,Sun,"A Python-enhanced urban land surface model SuPy (SUEWS in Python, v2019.2): development, deployment ...",Geoscientific Model Development,-,Global/Method,Methodology,https://doi.org/10.5194/gmd-12-2781-2019
Rafael2019,2019,Rafael,Evaluation of urban surface parameterizations in WRF model using energy fluxes measurements in Portu...,Urban Climate,Porto,Europe,City Study,https://doi.org/10.1016/j.uclim.2019.100465
Kokkonen2019,2019,Kokkonen,Simulation of the radiative effect of haze on the urban hydrological cycle using reanalysis data in ...,Atmospheric Chemistry and Physics,Beijing,Asia,City Study,https://doi.org/10.5194/acp-19-7001-2019
Jarvi2019,2019,Jarvi,Spatial Modeling of Local-Scale Biogenic and Anthropogenic Carbon Dioxide Emissions in Helsinki,Journal of Geophysical Research: Atmospheres,Helsinki,Europe,City Study,https://doi.org/10.1029/2018JD029576
Broadbent2019,2019,Broadbent,The Air-temperature Response to Green/blue-infrastructure Evaluation Tool (TARGET v1.0): an efficien...,Geoscientific Model Development,-,Global/Method,Methodology,https://doi.org/10.5194/gmd-12-785-2019
